id,title,budget,revenue,runtime,release_date,vote_average,vote_count,popularity,overview,original_language,adult,genres,primary_genre,genre_count,production_companies,main_production_company,production_company_count,production_countries,main_production_country,is_us_movie,director,director_id,main_cast,main_cast_ids,lead_actor,lead_actor_id,release_year,release_month,release_quarter,is_summer_movie,is_holiday_movie,success_category,profit_ratio,has_awards,has_oscar_mention,is_r_rated,is_family_friendly,budget_category,runtime_category,genres_count,cast_count,core_completeness,extra_completeness,overall_completeness
14199,The Adventures of Sharkboy and Lavagirl,50000000,72000000,92,2005-06-10,5.2,1558,4.9524,"Everyone always knew that Max had a wild imagination, but no one believed that his wildest creations -- a boy raised by watchful great white sharks and a girl with the force of a volcano -- were real. Now, these two pint-sized action masters will show Max that even an ordinary kid has what it takes to be extraordinary.",en,False,"Adventure, Family, Science Fiction",Adventure,3,Troublemaker Studios,Troublemaker Studios,1,['United States of America'],United States of America,True,Robert Rodriguez,2294,"Taylor Lautner, Taylor Dooley, Cayden Boyd, David Arquette, Kristin Davis","84214, 84517, 4741, 15234, 38025",Taylor Lautner,84214,2005,6,2,True,False,Break-even,1.44,False,False,False,False,Major Studio,Standard,3,5,1.0,0.4,0.82
10719,Elf,32000000,228500000,97,2003-11-07,6.655,4262,4.9524,"When young Buddy falls into Santa's gift sack on Christmas Eve, he's transported back to the North Pole and raised as a toy-making elf by Santa's helpers. But as he grows into adulthood, he can't shake the nagging feeling that he doesn't belong. Buddy vows to visit Manhattan and find his real dad, a workaholic.",en,False,"Comedy, Family, Fantasy",Comedy,3,"New Line Cinema, Guy Walks into a Bar Productions",New Line Cinema,2,['United States of America'],United States of America,True,Jon Favreau,15277,"Will Ferrell, James Caan, Bob Newhart, Ed Asner, Mary Steenburgen","23659, 3085, 64930, 68812, 2453",Will Ferrell,23659,2003,11,4,False,True,Hit,7.140625,False,False,False,False,Mid-Budget,Standard,3,5,1.0,0.4,0.82
11653,The Myth,15000000,6669097,118,2005-05-11,6.365,393,4.951,"When a fellow scientist asks for Jack's help in locating the mausoleum of China's first emperor, the past collides violently with the present as Jack discovers his amazing visions are based in fact.",zh,False,"Action, Adventure, Comedy, Drama, Fantasy",Action,5,"JCE Movies, China Film Co-Production Corp., Emperor Motion Pictures, China Film Group Corporation",JCE Movies,4,"['China', 'Hong Kong']",China,False,Stanley Tong Gwai-Lai,44916,"Jackie Chan, Kim Hee-seon, Tony Leung Ka-fai, Mallika Sherawat, Sun Zhou","18897, 70688, 56861, 70689, 65278",Jackie Chan,18897,2005,5,2,True,False,Flop,0.44460646666666664,False,False,False,False,Mid-Budget,Standard,5,5,1.0,0.4,0.82
461048,Agni I.P.S.,113000,7056000,166,1996-06-08,10.0,1,4.9485,"Agni, a volatile cop, quits but returns to hunt ""Black Tiger,"" uncovering corruption and vengeance. But a shocking truth threatens to shatter everything he knows.",kn,False,"Crime, Action",Crime,2,Gururaya Film Makers,Gururaya Film Makers,1,['India'],India,False,Thriller Manju,1506318,"Sai Kumar, Thriller Manju, Sharath Lohitashwa, Satya Prakash","146148, 1506318, 1477614, 1335263",Sai Kumar,146148,1996,6,2,True,False,Hit,62.442477876106196,False,False,False,False,Independent,Long,2,4,1.0,0.4,0.82
36419,After.Life,4500000,3606395,104,2009-11-07,6.3,1176,4.948,"Following a terrible car crash, a woman awakes to find an enigmatic mortician preparing her for burial.",en,False,"Drama, Horror, Mystery, Thriller",Drama,4,"Lleju Productions, Harbor Light Entertainment, Plum Pictures",Lleju Productions,3,['United States of America'],United States of America,True,Agnieszka Wojtowicz-Vosloo,129715,"Christina Ricci, Liam Neeson, Justin Long, Chandler Canterbury, Josh Charles","6886, 3896, 15033, 77334, 2694",Christina Ricci,6886,2009,11,4,False,True,Flop,0.8014211111111111,False,False,False,False,Independent,Standard,4,5,1.0,0.4,0.82
416477,The Big Sick,5000000,56303596,120,2017-03-30,7.331,2520,4.9467,"Pakistan-born comedian Kumail Nanjiani and grad student Emily Gardner fall in love but struggle as their cultures clash. When Emily contracts a mysterious illness, Kumail finds himself forced to face her feisty parents, his family's expectations, and his true feelings.",en,False,"Comedy, Drama, Romance",Comedy,3,"FilmNation Entertainment, Apatow Productions, Story Ink",FilmNation Entertainment,3,['United States of America'],United States of America,True,Michael Showalter,22215,"Kumail Nanjiani, Zoe Kazan, Holly Hunter, Ray Romano, Anupam Kher","466505, 35028, 18686, 15757, 6217",Kumail Nanjiani,466505,2017,3,1,False,False,Hit,11.2607192,False,False,False,False,Independent,Standard,3,5,1.0,0.4,0.82
6440,The Shipping News,38000000,24690441,111,2001-12-18,6.387,398,4.9414,An emotionally-beaten man with his young daughter moves to his ancestral home in Newfoundland to reclaim his life.,en,False,"Drama, Romance",Drama,2,Miramax,Miramax,1,"['Canada', 'United States of America']",Canada,True,Lasse Hallström,5306,"Kevin Spacey, Julianne Moore, Cate Blanchett, Judi Dench, Pete Postlethwaite","1979, 1231, 112, 5309, 4935",Kevin Spacey,1979,2001,12,4,False,True,Flop,0.6497484473684211,False,False,False,False,Mid-Budget,Standard,2,5,1.0,0.4,0.82
1494,Curse of the Golden Flower,45000000,78568977,114,2006-12-14,6.845,773,4.9403,"During China's Tang dynasty the emperor has taken the princess of a neighboring province as his wife. She has borne him two sons and raised his eldest. Now his control over his dominion is complete, including the royal family itself.",zh,False,"Action, Drama, Fantasy",Action,3,"Beijing New Picture Film Co. Ltd., Elite Group Enterprises, Film Partner International, Sony Pictures Classics, Edko Films, Focus Features, Picasso Pictures",Beijing New Picture Film Co. Ltd.,7,"['China', 'Hong Kong', 'United Kingdom', 'United States of America']",China,True,Zhang Yimou,607,"Chow Yun-Fat, Gong Li, Jay Chou, Liu Ye, Qin Junjie","1619, 643, 17380, 20654, 17385",Chow Yun-Fat,1619,2006,12,4,False,True,Break-even,1.7459772666666666,False,False,False,False,Mid-Budget,Standard,3,5,1.0,0.4,0.82
862965,Emily the Criminal,2000000,2157673,97,2022-08-12,6.675,911,4.94,"Desperate for income, Emily takes a shady gig buying goods with stolen credit cards supplied by a charismatic middleman named Youcef. Seduced by the quick cash and illicit thrills, they hatch a plan to take their business to the next level.",en,False,"Crime, Drama, Thriller",Crime,3,"Low Spark Films, Evil Hag Productions, Fear Knot Productions, MakeMake",Low Spark Films,4,['United States of America'],United States of America,True,John Patton Ford,1099792,"Aubrey Plaza, Theo Rossi, Megalyn Echikunwoke, Gina Gershon, Jonathan Avigdori","119592, 51995, 25382, 11150, 1807178",Aubrey Plaza,119592,2022,8,3,True,False,Break-even,1.0788365,False,False,False,False,Independent,Standard,3,5,1.0,0.4,0.82
257088,Point Break,105000000,133782481,114,2015-12-03,6.0,2358,4.9353,"A young undercover FBI agent infiltrates a gang of thieves who share a common interest in extreme sports. A remake of the 1991 film, ""Point Break"".",en,False,"Action, Adventure, Crime, Thriller",Action,4,"Studio Babelsberg, Alcon Entertainment, DMG Entertainment, Taylor-Baldecchi-Wimmer",Studio Babelsberg,4,"['Germany', 'United States of America']",Germany,True,Ericson Core,21673,"Edgar Ramírez, Luke Bracey, Teresa Palmer, Ray Winstone, Max Thieriot","25616, 972356, 20374, 5538, 41883",Edgar Ramírez,25616,2015,12,4,False,True,Break-even,1.2741188666666667,False,False,False,False,Blockbuster,Standard,4,5,1.0,0.4,0.82
