id,imdb_rating,imdb_votes,rotten_tomatoes_score,metacritic_score,awards,writer,rated,country
259693,7.3,326018.0,80.0,65.0,4 wins & 13 nominations total,"Chad Hayes, Carey W. Hayes, James Wan",R,"Canada, United States, United Kingdom"
550,8.8,2506733.0,81.0,67.0,Nominated for 1 Oscar. 12 wins & 38 nominations total,"Chuck Palahniuk, Jim Uhls",R,"United States, Germany"
76600,7.5,544072.0,76.0,67.0,Won 1 Oscar. 73 wins & 152 nominations total,"James Cameron, Rick Jaffa, Amanda Silver",PG-13,United States
933260,7.2,334591.0,89.0,78.0,Won 1 Oscar. 142 wins & 287 nominations total,Coralie Fargeat,R,"United Kingdom, France"
597,7.9,1354930.0,88.0,75.0,Won 11 Oscars. 126 wins & 84 nominations total,James Cameron,PG-13,United States
496243,8.5,1100523.0,99.0,97.0,Won 4 Oscars. 309 wins & 260 nominations total,"Bong Joon Ho, Han Jin-won",R,South Korea
1865,6.6,592745.0,32.0,45.0,3 wins & 31 nominations total,"Ted Elliott, Terry Rossio, Stuart Beattie",PG-13,"United States, United Kingdom"
603692,7.6,391433.0,94.0,78.0,38 wins & 51 nominations total,"Shay Hatten, Michael Finch, Derek Kolstad",R,"United States, Germany"
575264,7.6,309576.0,96.0,81.0,Nominated for 2 Oscars. 18 wins & 68 nominations total,"Bruce Geller, Christopher McQuarrie, Erik Jendresen",PG-13,United States
675,7.5,674703.0,78.0,71.0,Nominated for 2 BAFTA 17 wins & 50 nominations total,"Michael Goldenberg, J.K. Rowling",PG-13,"United Kingdom, United States"
286217,8.0,979541.0,91.0,80.0,Nominated for 7 Oscars. 40 wins & 199 nominations total,"Drew Goddard, Andy Weir",PG-13,"United States, United Kingdom, Hungary, Jordan"
269149,8.0,590170.0,98.0,78.0,Won 1 Oscar. 49 wins & 75 nominations total,"Byron Howard, Rich Moore, Jared Bush",PG,United States
497,8.6,1511405.0,79.0,61.0,Nominated for 4 Oscars. 15 wins & 37 nominations total,"Stephen King, Frank Darabont",R,United States
10191,8.1,864250.0,99.0,75.0,Nominated for 2 Oscars. 25 wins & 63 nominations total,"William Davies, Dean DeBlois, Chris Sanders",PG,"United States, France, United Kingdom"
809,7.4,538651.0,89.0,75.0,Nominated for 2 Oscars. 18 wins & 52 nominations total,"William Steig, Andrew Adamson, Joe Stillman",PG,United States
210577,8.1,1136209.0,88.0,79.0,Nominated for 1 Oscar. 64 wins & 189 nominations total,Gillian Flynn,R,United States
475557,8.3,1637986.0,68.0,59.0,Won 2 Oscars. 120 wins & 246 nominations total,"Todd Phillips, Scott Silver, Bob Kane",R,"United States, Canada, Australia"
640,8.1,1185162.0,96.0,75.0,Nominated for 2 Oscars. 16 wins & 46 nominations total,"Frank Abagnale Jr., Stan Redding, Jeff Nathanson",PG-13,"United States, Canada"
22881,7.6,378385.0,66.0,53.0,Won 1 Oscar. 9 wins & 30 nominations total,"John Lee Hancock, Michael Lewis",PG-13,United States
17880,6.4,13359.0,55.0,54.0,2 nominations total,"Kate DiCamillo, Joan Singleton",PG,United States
156022,7.3,453309.0,61.0,57.0,1 win & 9 nominations total,"Richard Wenk, Michael Sloan, Richard Lindheim",R,United States
453395,6.9,526980.0,73.0,60.0,10 wins & 28 nominations total,"Michael Waldron, Stan Lee, Steve Ditko",PG-13,United States
6977,8.2,1136999.0,93.0,92.0,Won 4 Oscars. 165 wins & 139 nominations total,"Joel Coen, Ethan Coen, Cormac McCarthy",R,United States
9479,7.9,398227.0,95.0,82.0,Nominated for 1 Oscar. 7 wins & 17 nominations total,"Tim Burton, Michael McDowell, Caroline Thompson",PG,United States
10681,8.4,1279502.0,95.0,95.0,Won 1 Oscar. 96 wins & 95 nominations total,"Andrew Stanton, Pete Docter, Jim Reardon",G,"United States, Japan"
396535,7.6,289975.0,94.0,73.0,36 wins & 42 nominations total,"Park Joo-suk, Yeon Sang-ho",Not Rated,South Korea
260514,6.7,141123.0,70.0,59.0,3 wins & 24 nominations total,"Brian Fee, Ben Queen, Eyal Podell",G,"United States, Japan, Australia"
857,8.6,1589732.0,94.0,91.0,Won 5 Oscars. 79 wins & 75 nominations total,Robert Rodat,R,United States
167032,5.6,46270.0,78.0,58.0,2 wins & 1 nomination total,Don Mancini,R,"United States, Canada"
484468,6.9,22974.0,,,1 win & 3 nominations total,Antonin Baudry,TV-14,France
119450,7.6,503917.0,91.0,79.0,Nominated for 1 Oscar. 17 wins & 48 nominations total,"Mark Bomback, Rick Jaffa, Amanda Silver",PG-13,"United States, United Kingdom, Canada"
976573,7.0,153364.0,73.0,58.0,Nominated for 1 Oscar. 2 wins & 68 nominations total,"John Hoberg, Kat Likkel, Brenda Hsueh",PG,United States
653346,6.8,159281.0,80.0,66.0,Nominated for 1 Oscar. 4 wins & 62 nominations total,"Josh Friedman, Rick Jaffa, Amanda Silver",PG-13,United States
9502,7.6,557974.0,87.0,74.0,Nominated for 1 Oscar. 15 wins & 39 nominations total,"Jonathan Aibel, Glenn Berger, Ethan Reiff",PG,"United States, Japan, China, Russia"
426063,7.2,224748.0,84.0,78.0,Nominated for 4 Oscars. 58 wins & 195 nominations total,"Robert Eggers, Henrik Galeen, Bram Stoker",R,United States
718930,7.3,504102.0,52.0,49.0,2 wins & 19 nominations total,"Zak Olkewicz, Kôtarô Isaka",R,"United States, Japan"
91314,5.6,343497.0,18.0,32.0,5 wins & 23 nominations total,Ehren Kruger,PG-13,"United States, China, Hong Kong"
1562,6.9,341152.0,73.0,78.0,3 wins & 16 nominations total,"Rowan Joffe, Juan Carlos Fresnadillo, Enrique López Lavigne",R,"United Kingdom, Spain"
572802,5.6,110777.0,33.0,42.0,1 win & 6 nominations total,"David Leslie Johnson-McGoldrick, James Wan, Jason Momoa",PG-13,"United States, United Kingdom, Canada, Australia, Iceland"
37165,8.2,1310024.0,94.0,90.0,Nominated for 3 Oscars. 41 wins & 69 nominations total,Andrew Niccol,PG,United States
280,8.6,1251094.0,91.0,75.0,Won 4 Oscars. 39 wins & 33 nominations total,"James Cameron, William Wisher",R,"United States, France"
128,8.3,467820.0,93.0,78.0,14 wins & 6 nominations total,Hayao Miyazaki,PG-13,Japan
135397,6.9,713850.0,71.0,59.0,15 wins & 58 nominations total,"Rick Jaffa, Amanda Silver, Colin Trevorrow",PG-13,"Japan, United States"
8681,7.7,661427.0,60.0,51.0,2 wins & 2 nominations total,"Luc Besson, Robert Mark Kamen",PG-13,"France, United Kingdom, United States"
507086,5.6,235077.0,29.0,38.0,1 win & 25 nominations total,"Emily Carmichael, Colin Trevorrow, Derek Connolly",PG-13,"United States, China"
131631,6.6,530835.0,70.0,64.0,21 wins & 32 nominations total,"Peter Craig, Danny Strong, Suzanne Collins",PG-13,"United States, Canada, France"
